CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
923	979	6	0.8817	-13.070
413	783	6	0.8522	26.015
712	836	6	0.8104	50.013
392	829	6	0.8583	-46.042
151	231	6	0.9413	-2.016
343	817	6	0.9271	12.000
392	514	6	0.8692	12.034
272	757	6	0.9359	28.031
163	740	6	0.9102	-24.000
343	649	6	0.8991	23.090
52	266	6	0.9503	-28.031
272	405	6	0.9376	-26.016
394	465	6	0.9011	58.078
394	817	6	0.8955	42.047
712	801	6	0.8427	76.029
72	155	6	0.9197	4.031
318	836	6	0.8898	-26.015
52	829	6	0.8915	-54.045
343	394	6	0.9235	-30.047
196	343	6	0.9599	-0.000
72	405	6	0.9206	-26.016
465	817	6	0.9099	-16.031
151	191	6	0.9297	-6.046
372	831	6	0.8349	76.030
192	424	6	0.9349	28.031
272	315	6	0.9252	-2.013
191	829	6	0.9148	-26.015
810	829	6	0.8823	1.072
424	649	6	0.8868	-30.957
413	833	6	0.8478	-24.000
372	712	6	0.8402	-26.015
514	923	6	0.916	-32.062
231	266	6	0.9218	-4.030
231	405	6	0.9102	-54.048
706	801	6	0.804	24.000
75	923	6	0.9381	-28.030
712	837	6	0.8469	0.000
401	757	6	0.9052	26.014
191	392	6	0.9024	20.028
319	394	6	0.9034	-2.017
158	404	6	0.9507	-82.078
192	196	6	0.936	-26.016
155	231	6	0.9436	24.000
192	809	6	0.8827	-28.031
272	401	6	0.9234	2.017
196	394	6	0.9278	-30.047
266	757	6	0.9197	4.029
801	831	6	0.817	26.016
72	401	6	0.8969	2.016
413	810	6	0.8615	-7.117
318	372	6	0.8046	-50.013
397	901	6	0.8962	2.016
166	196	6	0.9643	2.016
191	757	6	0.9048	4.029
196	424	6	0.9343	54.047
465	809	6	0.8857	-30.047
322	740	6	0.908	-50.015
166	192	6	0.9442	28.031
72	231	6	0.9575	28.032
801	836	6	0.8361	-26.016
134	901	6	0.8898	82.078
191	923	6	0.9128	0.000
483	809	6	0.8639	-28.031
372	801	6	0.8197	50.015
394	649	6	0.9068	53.137
163	732	6	0.8994	2.016
72	740	6	0.9425	-67.987
405	757	6	0.904	54.047
134	272	6	0.9174	2.014
702	979	6	0.903	14.016
319	702	6	0.8779	-84.095
52	231	6	0.931	-24.000
196	450	6	0.9467	40.031
75	130	6	0.9371	-26.016
163	191	6	0.9136	67.988
158	305	6	0.9635	-26.015
155	405	6	0.9214	-30.048
166	450	6	0.9573	42.047
75	305	6	0.9766	-0.001
231	401	6	0.9106	-26.015
649	702	6	0.8882	-135.215
319	649	6	0.8919	51.120
52	401	6	0.8953	-50.015
192	450	6	0.952	14.016
424	450	6	0.9521	-14.015
192	483	6	0.8978	0.000
343	465	6	0.9348	28.031
72	272	6	0.9596	-0.000
192	343	6	0.9387	-26.016
72	757	6	0.921	28.031
424	817	6	0.9186	-42.047
231	757	6	0.9617	-0.001
465	483	6	0.9027	-2.016
315	397	6	0.8896	80.062
394	450	6	0.9275	70.079
