CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
277	302	26	0.8636	146.084
144	163	26	0.872	203.972
122	736	26	0.9376	313.989
163	1503	26	0.9203	-203.963
122	144	26	0.7769	-407.934
154	302	26	0.7142	280.066
302	736	26	0.8887	11.941
428	1503	26	0.7393	-474.112
122	428	26	0.8422	66.188
144	154	26	0.9015	429.916
122	277	26	0.8165	155.964
122	477	26	0.8758	186.131
154	676	26	0.7469	-399.755
122	1503	26	0.8225	-407.924
201	277	26	0.8317	-366.315
154	397	26	0.7336	-369.443
154	1503	26	0.9345	-429.906
144	397	26	0.776	60.472
163	428	26	0.8204	270.149
201	736	26	0.7192	-208.290
122	163	26	0.8889	-203.962
428	477	26	0.8019	119.943
302	428	26	0.9114	-235.860
676	1503	26	0.8233	-30.151
154	163	26	0.8404	-225.943
201	302	26	0.8134	-220.231
122	676	26	0.8105	-377.774
122	302	26	0.9408	302.048
541	1284	27	0.8709	74.036
509	1074	27	0.8623	-237.158
509	796	27	0.8604	-193.132
541	542	27	0.7982	-343.221
1074	1406	27	0.7688	308.183
342	541	27	0.7851	45.010
503	542	27	0.7471	-431.273
503	1074	27	0.8579	-176.105
1074	1284	27	0.8658	162.088
342	509	27	0.8307	194.115
205	1074	27	0.8924	-220.132
483	1074	27	0.8001	-264.157
342	1074	27	0.7866	-43.042
205	1406	27	0.8679	88.052
342	796	27	0.7905	0.984
483	509	27	0.7773	-26.999
342	483	27	0.7494	221.115
483	796	27	0.8236	-220.131
509	541	27	0.8577	-149.106
205	342	27	0.7827	-177.089
541	1406	27	0.8108	220.131
503	796	27	0.8756	-132.078
796	1074	27	0.9467	-44.026
503	1406	27	0.8114	132.079
205	796	27	0.9122	-176.105
466	509	27	0.7812	45.058
176	466	27	0.8125	-88.052
207	509	27	0.7497	-44.026
205	466	27	0.9044	-28.032
796	1406	27	0.7928	264.157
509	1406	27	0.7337	71.025
205	483	27	0.9052	44.026
205	509	27	0.9014	17.026
342	503	27	0.7485	133.062
483	1406	27	0.8399	44.026
176	1406	27	0.791	28.031
