CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
369	409	14	0.9234	-54.045
409	602	14	0.9297	2.013
369	407	14	0.9713	-28.031
369	414	14	0.9507	-2.017
602	911	14	0.9327	-2.013
352	911	14	0.9035	-54.045
352	414	14	0.9183	-2.017
407	911	14	0.951	-26.014
340	741	14	0.9069	-21.983
408	416	14	0.9189	-67.987
602	741	14	0.8798	28.032
414	501	14	0.9241	-21.984
338	911	14	0.9167	-52.029
369	501	14	0.9338	-24.001
369	408	14	0.965	-28.031
340	369	14	0.9352	2.017
501	964	14	0.9449	-24.000
602	964	14	0.9095	4.031
797	964	14	0.9155	-24.000
338	407	14	0.9353	-26.014
501	911	14	0.9115	-30.044
352	797	14	0.925	-24.001
338	964	14	0.9142	-45.984
352	408	14	0.9361	-28.031
407	414	14	0.9388	26.014
407	409	14	0.9537	-26.014
407	416	14	0.9331	-67.988
408	602	14	0.9185	-24.001
340	352	14	0.9364	2.017
501	797	14	0.9594	0.000
338	408	14	0.9205	-26.014
407	964	14	0.917	-19.970
408	409	14	0.9648	-26.014
352	407	14	0.9372	-28.031
338	352	14	0.9552	2.016
352	501	14	0.9251	-24.001
340	501	14	0.9157	-21.984
911	964	14	0.9141	6.044
408	414	14	0.9334	26.014
602	797	14	0.9033	28.031
338	414	14	0.9581	-0.000
352	964	14	0.9227	-48.001
338	797	14	0.9242	-21.984
501	602	14	0.9417	-28.031
340	797	14	0.9152	-21.984
369	964	14	0.9373	-48.001
338	369	14	0.9531	2.016
414	964	14	0.9053	-45.984
352	369	14	0.9507	0.000
501	741	14	0.9356	0.001
338	501	14	0.942	-21.985
408	911	14	0.9562	-26.014
340	407	14	0.9188	-26.014
338	340	14	0.9647	-0.000
414	911	14	0.9258	-52.028
407	408	14	0.9791	-0.000
688	984	15	0.9201	-162.053
1018	1042	15	0.9214	-105.034
564	942	15	0.9222	-54.997
515	984	15	0.9272	-161.041
515	942	15	0.9177	-56.007
942	958	15	0.9226	1.018
942	984	15	0.938	-105.034
672	688	15	0.9369	1.017
688	846	15	0.9142	-0.995
517	958	15	0.9171	-55.991
687	942	15	0.913	-57.000
688	853	15	0.9237	-58.026
870	1042	15	0.9165	-0.012
942	1018	15	0.9342	-1.012
844	846	15	0.8919	-1.010
958	993	15	0.8979	-1.021
672	1018	15	0.9173	-57.014
672	942	15	0.9213	-56.002
517	1018	15	0.9256	-58.021
564	984	15	0.9313	-160.031
958	1042	15	0.916	-107.063
687	833	15	0.9392	-0.005
870	958	15	0.9002	107.052
517	853	15	0.9346	-58.017
564	680	15	0.9299	1.021
515	853	15	0.9276	-57.015
515	687	15	0.9717	0.993
564	853	15	0.9374	-56.005
993	1042	15	0.9122	-106.042
515	688	15	0.9599	1.012
853	942	15	0.934	1.008
517	942	15	0.9367	-57.009
687	688	15	0.9388	0.019
564	1018	15	0.9225	-56.009
984	1018	15	0.9212	104.022
515	564	15	0.9574	-1.010
680	688	15	0.9693	1.001
870	993	15	0.8961	106.030
672	984	15	0.9298	-161.036
515	517	15	0.9109	1.002
672	833	15	0.9412	0.993
517	833	15	0.9152	-0.014
687	984	15	0.9165	-162.034
672	853	15	0.9292	-57.010
958	1018	15	0.9186	-2.029
833	942	15	0.9224	-56.995
564	687	15	0.9656	2.003
672	680	15	0.9331	0.016
853	984	15	0.9374	-104.026
833	853	15	0.9213	-58.003
993	1018	15	0.9248	-1.008
833	984	15	0.9182	-162.029
680	687	15	0.941	0.982
564	688	15	0.9262	2.021
515	672	15	0.965	-0.005
680	846	15	0.9112	0.006
517	870	15	0.9074	-163.043
853	1018	15	0.9296	-0.004
833	1018	15	0.9392	-58.007
564	833	15	0.9449	1.998
687	853	15	0.926	-58.008
517	984	15	0.9382	-162.043
833	993	15	0.9092	-56.999
672	687	15	0.9737	0.998
515	680	15	0.9593	0.011
515	833	15	0.9213	0.988
564	672	15	0.9675	1.005
370	438	16	0.9227	0.001
495	784	17	0.8038	-17.026
745	784	17	0.7641	-57.021
745	781	17	0.7772	53.047
738	1066	18	0.7581	28.031
258	1003	18	0.7034	2.016
306	1066	18	0.8053	2.016
566	814	18	0.7694	131.252
306	925	18	0.7924	-248.251
690	808	18	0.8824	-2.016
258	713	18	0.8226	26.016
574	888	18	0.7824	2.016
306	355	18	0.9375	0.000
733	889	18	0.8063	-17.026
858	889	18	0.7181	-57.021
308	461	18	0.9736	18.010
355	925	18	0.8164	-248.251
308	548	18	0.9486	36.021
258	314	18	0.7087	24.000
570	889	18	0.8144	-176.032
324	1003	18	0.7014	4.031
258	1066	18	0.7387	-21.984
523	548	18	0.8475	-57.021
707	808	18	0.9399	-26.016
566	926	18	0.804	2.014
306	814	18	0.8372	-119.013
306	324	18	0.7804	21.984
355	814	18	0.8135	-119.013
275	713	18	0.7451	30.047
461	570	18	0.8714	-35.037
355	473	18	0.8718	-24.000
570	1041	18	0.8219	-49.982
569	929	18	0.7333	28.031
897	1051	18	0.7488	-36.020
566	928	18	0.8805	28.030
491	814	18	0.7014	-352.079
355	928	18	0.8028	-222.235
355	929	18	0.8071	-222.235
355	566	18	0.8521	-250.265
569	926	18	0.7096	2.016
